fichier,n chiffres,nb de sequences
1 million de pi.txt,149,999853
carree_1M.txt,149,999852
1 million de pi.txt,150,999852
carree_1M.txt,150,999851
1 million de pi.txt,151,999851
carree_1M.txt,151,999850
1 million de pi.txt,152,999850
carree_1M.txt,152,999849
1 million de pi.txt,153,999849
carree_1M.txt,153,999848
1 million de pi.txt,154,999848
carree_1M.txt,154,999847
1 million de pi.txt,155,999847
carree_1M.txt,155,999846
1 million de pi.txt,156,999846
carree_1M.txt,156,999845
1 million de pi.txt,157,999845
carree_1M.txt,157,999844
1 million de pi.txt,158,999844
carree_1M.txt,158,999843
1 million de pi.txt,159,999843
carree_1M.txt,159,999842
1 million de pi.txt,160,999842
carree_1M.txt,160,999841
1 million de pi.txt,161,999841
carree_1M.txt,161,999840
1 million de pi.txt,162,999840
carree_1M.txt,162,999839
1 million de pi.txt,163,999839
carree_1M.txt,163,999838
1 million de pi.txt,164,999838
carree_1M.txt,164,999837
1 million de pi.txt,165,999837
carree_1M.txt,165,999836
1 million de pi.txt,166,999836
carree_1M.txt,166,999835
1 million de pi.txt,167,999835
carree_1M.txt,167,999834
1 million de pi.txt,168,999834
carree_1M.txt,168,999833
1 million de pi.txt,169,999833
carree_1M.txt,169,999832
1 million de pi.txt,170,999832
carree_1M.txt,170,999831
1 million de pi.txt,171,999831
carree_1M.txt,171,999830
1 million de pi.txt,172,999830
carree_1M.txt,172,999829
1 million de pi.txt,173,999829
carree_1M.txt,173,999828
1 million de pi.txt,174,999828
carree_1M.txt,174,999827
1 million de pi.txt,175,999827
carree_1M.txt,175,999826
1 million de pi.txt,176,999826
carree_1M.txt,176,999825
1 million de pi.txt,177,999825
carree_1M.txt,177,999824
1 million de pi.txt,178,999824
carree_1M.txt,178,999823
1 million de pi.txt,179,999823
carree_1M.txt,179,999822
1 million de pi.txt,180,999822
carree_1M.txt,180,999821
1 million de pi.txt,181,999821
carree_1M.txt,181,999820
1 million de pi.txt,182,999820
carree_1M.txt,182,999819
1 million de pi.txt,183,999819
carree_1M.txt,183,999818
1 million de pi.txt,184,999818
carree_1M.txt,184,999817
1 million de pi.txt,185,999817
carree_1M.txt,185,999816
1 million de pi.txt,186,999816
carree_1M.txt,186,999815
1 million de pi.txt,187,999815
carree_1M.txt,187,999814
1 million de pi.txt,188,999814
carree_1M.txt,188,999813
1 million de pi.txt,189,999813
carree_1M.txt,189,999812
1 million de pi.txt,190,999812
carree_1M.txt,190,999811
1 million de pi.txt,191,999811
carree_1M.txt,191,999810
1 million de pi.txt,192,999810
carree_1M.txt,192,999809
1 million de pi.txt,193,999809
carree_1M.txt,193,999808
1 million de pi.txt,194,999808
carree_1M.txt,194,999807
1 million de pi.txt,195,999807
carree_1M.txt,195,999806
1 million de pi.txt,196,999806
carree_1M.txt,196,999805
1 million de pi.txt,197,999805
carree_1M.txt,197,999804
1 million de pi.txt,198,999804
carree_1M.txt,198,999803
1 million de pi.txt,199,999803
carree_1M.txt,199,999802
1 million de pi.txt,200,999802
carree_1M.txt,200,999801
1 million de pi.txt,201,999801
carree_1M.txt,201,999800
1 million de pi.txt,202,999800
carree_1M.txt,202,999799
1 million de pi.txt,203,999799
carree_1M.txt,203,999798
1 million de pi.txt,204,999798
carree_1M.txt,204,999797
1 million de pi.txt,205,999797
carree_1M.txt,205,999796
1 million de pi.txt,206,999796
carree_1M.txt,206,999795
1 million de pi.txt,207,999795
carree_1M.txt,207,999794
1 million de pi.txt,208,999794
carree_1M.txt,208,999793
1 million de pi.txt,209,999793
carree_1M.txt,209,999792
1 million de pi.txt,210,999792
carree_1M.txt,210,999791
1 million de pi.txt,211,999791
carree_1M.txt,211,999790
1 million de pi.txt,212,999790
carree_1M.txt,212,999789
1 million de pi.txt,213,999789
carree_1M.txt,213,999788
1 million de pi.txt,214,999788
carree_1M.txt,214,999787
1 million de pi.txt,215,999787
carree_1M.txt,215,999786
1 million de pi.txt,216,999786
carree_1M.txt,216,999785
1 million de pi.txt,217,999785
carree_1M.txt,217,999784
1 million de pi.txt,218,999784
carree_1M.txt,218,999783
1 million de pi.txt,219,999783
carree_1M.txt,219,999782
1 million de pi.txt,220,999782
carree_1M.txt,220,999781
1 million de pi.txt,221,999781
carree_1M.txt,221,999780
1 million de pi.txt,222,999780
carree_1M.txt,222,999779
1 million de pi.txt,223,999779
carree_1M.txt,223,999778
1 million de pi.txt,224,999778
carree_1M.txt,224,999777
1 million de pi.txt,225,999777
carree_1M.txt,225,999776
1 million de pi.txt,226,999776
carree_1M.txt,226,999775
1 million de pi.txt,227,999775
carree_1M.txt,227,999774
1 million de pi.txt,228,999774
carree_1M.txt,228,999773
1 million de pi.txt,229,999773
carree_1M.txt,229,999772
1 million de pi.txt,230,999772
carree_1M.txt,230,999771
1 million de pi.txt,231,999771
carree_1M.txt,231,999770
1 million de pi.txt,232,999770
carree_1M.txt,232,999769
1 million de pi.txt,233,999769
carree_1M.txt,233,999768
1 million de pi.txt,234,999768
carree_1M.txt,234,999767
1 million de pi.txt,235,999767
carree_1M.txt,235,999766
1 million de pi.txt,236,999766
carree_1M.txt,236,999765
1 million de pi.txt,237,999765
carree_1M.txt,237,999764
1 million de pi.txt,238,999764
carree_1M.txt,238,999763
1 million de pi.txt,239,999763
carree_1M.txt,239,999762
1 million de pi.txt,240,999762
carree_1M.txt,240,999761
1 million de pi.txt,241,999761
carree_1M.txt,241,999760
1 million de pi.txt,242,999760
carree_1M.txt,242,999759
1 million de pi.txt,243,999759
carree_1M.txt,243,999758
1 million de pi.txt,244,999758
carree_1M.txt,244,999757
1 million de pi.txt,245,999757
carree_1M.txt,245,999756
1 million de pi.txt,246,999756
carree_1M.txt,246,999755
1 million de pi.txt,247,999755
carree_1M.txt,247,999754
1 million de pi.txt,248,999754
carree_1M.txt,248,999753
1 million de pi.txt,249,999753
carree_1M.txt,249,999752
1 million de pi.txt,250,999752
carree_1M.txt,250,999751
1 million de pi.txt,251,999751
carree_1M.txt,251,999750
1 million de pi.txt,252,999750
carree_1M.txt,252,999749
1 million de pi.txt,253,999749
carree_1M.txt,253,999748
1 million de pi.txt,254,999748
carree_1M.txt,254,999747
1 million de pi.txt,255,999747
carree_1M.txt,255,999746
1 million de pi.txt,256,999746
carree_1M.txt,256,999745
1 million de pi.txt,257,999745
carree_1M.txt,257,999744
1 million de pi.txt,258,999744
carree_1M.txt,258,999743
1 million de pi.txt,259,999743
carree_1M.txt,259,999742
1 million de pi.txt,260,999742
carree_1M.txt,260,999741
1 million de pi.txt,261,999741
carree_1M.txt,261,999740
1 million de pi.txt,262,999740
carree_1M.txt,262,999739
1 million de pi.txt,263,999739
carree_1M.txt,263,999738
1 million de pi.txt,264,999738
carree_1M.txt,264,999737
1 million de pi.txt,265,999737
carree_1M.txt,265,999736
1 million de pi.txt,266,999736
carree_1M.txt,266,999735
1 million de pi.txt,267,999735
carree_1M.txt,267,999734
1 million de pi.txt,268,999734
carree_1M.txt,268,999733
1 million de pi.txt,269,999733
carree_1M.txt,269,999732
1 million de pi.txt,270,999732
carree_1M.txt,270,999731
1 million de pi.txt,271,999731
carree_1M.txt,271,999730
1 million de pi.txt,272,999730
carree_1M.txt,272,999729
1 million de pi.txt,273,999729
carree_1M.txt,273,999728
1 million de pi.txt,274,999728
carree_1M.txt,274,999727
1 million de pi.txt,275,999727
carree_1M.txt,275,999726
1 million de pi.txt,276,999726
carree_1M.txt,276,999725
1 million de pi.txt,277,999725
carree_1M.txt,277,999724
1 million de pi.txt,278,999724
carree_1M.txt,278,999723
1 million de pi.txt,279,999723
carree_1M.txt,279,999722
1 million de pi.txt,280,999722
carree_1M.txt,280,999721
1 million de pi.txt,281,999721
carree_1M.txt,281,999720
1 million de pi.txt,282,999720
carree_1M.txt,282,999719
1 million de pi.txt,283,999719
carree_1M.txt,283,999718
1 million de pi.txt,284,999718
carree_1M.txt,284,999717
1 million de pi.txt,285,999717
carree_1M.txt,285,999716
1 million de pi.txt,286,999716
carree_1M.txt,286,999715
1 million de pi.txt,287,999715
carree_1M.txt,287,999714
1 million de pi.txt,288,999714
carree_1M.txt,288,999713
1 million de pi.txt,289,999713
carree_1M.txt,289,999712
1 million de pi.txt,290,999712
carree_1M.txt,290,999711
1 million de pi.txt,291,999711
carree_1M.txt,291,999710
1 million de pi.txt,292,999710
carree_1M.txt,292,999709
1 million de pi.txt,293,999709
carree_1M.txt,293,999708
1 million de pi.txt,294,999708
carree_1M.txt,294,999707
1 million de pi.txt,295,999707
carree_1M.txt,295,999706
1 million de pi.txt,296,999706
carree_1M.txt,296,999705
1 million de pi.txt,297,999705
carree_1M.txt,297,999704
1 million de pi.txt,298,999704
carree_1M.txt,298,999703
1 million de pi.txt,299,999703
carree_1M.txt,299,999702
1 million de pi.txt,300,999702
carree_1M.txt,300,999701
1 million de pi.txt,301,999701
carree_1M.txt,301,999700
1 million de pi.txt,302,999700
carree_1M.txt,302,999699
1 million de pi.txt,303,999699
carree_1M.txt,303,999698
1 million de pi.txt,304,999698
carree_1M.txt,304,999697
1 million de pi.txt,305,999697
carree_1M.txt,305,999696
1 million de pi.txt,306,999696
carree_1M.txt,306,999695
1 million de pi.txt,307,999695
carree_1M.txt,307,999694
1 million de pi.txt,308,999694
carree_1M.txt,308,999693
1 million de pi.txt,309,999693
carree_1M.txt,309,999692
1 million de pi.txt,310,999692
carree_1M.txt,310,999691
1 million de pi.txt,311,999691
carree_1M.txt,311,999690
1 million de pi.txt,312,999690
